service_id,date,exception_type
1,20190330,1
2,20190406,1
2,20190413,1
2,20190420,1
2,20190427,1
2,20190504,1
2,20190511,1
2,20190518,1
2,20190525,1
2,20190601,1
2,20190608,1
2,20190615,1
2,20190622,1
2,20190629,1
2,20190706,1
2,20190713,1
2,20190720,1
2,20190727,1
2,20190803,1
2,20190810,1
2,20190817,1
2,20190824,1
2,20190831,1
2,20190907,1
2,20190914,1
2,20190921,1
3,20190331,1
4,20190407,1
4,20190414,1
4,20190421,1
4,20190428,1
4,20190505,1
4,20190512,1
4,20190519,1
4,20190526,1
4,20190602,1
4,20190609,1
4,20190616,1
4,20190623,1
4,20190630,1
4,20190707,1
4,20190714,1
4,20190721,1
4,20190728,1
4,20190804,1
4,20190811,1
4,20190818,1
4,20190825,1
4,20190901,1
4,20190908,1
4,20190915,1
4,20190922,1
5,20190328,1
5,20190329,1
5,20190401,1
5,20190402,1
5,20190403,1
5,20190404,1
5,20190405,1
6,20190408,1
6,20190409,1
6,20190410,1
6,20190411,1
6,20190412,1
6,20190415,1
6,20190416,1
6,20190417,1
6,20190418,1
6,20190419,1
6,20190422,1
6,20190423,1
6,20190424,1
6,20190425,1
6,20190426,1
6,20190429,1
6,20190430,1
6,20190501,1
6,20190502,1
6,20190503,1
6,20190506,1
6,20190507,1
6,20190508,1
6,20190509,1
6,20190510,1
6,20190513,1
6,20190514,1
6,20190515,1
6,20190516,1
6,20190517,1
6,20190520,1
6,20190521,1
6,20190522,1
6,20190523,1
6,20190524,1
6,20190527,1
6,20190528,1
6,20190529,1
6,20190530,1
6,20190531,1
6,20190603,1
6,20190604,1
6,20190605,1
6,20190606,1
6,20190607,1
6,20190610,1
6,20190611,1
6,20190612,1
6,20190613,1
6,20190614,1
6,20190617,1
6,20190618,1
6,20190619,1
6,20190620,1
6,20190621,1
6,20190624,1
6,20190625,1
6,20190626,1
6,20190627,1
6,20190628,1
6,20190701,1
6,20190702,1
6,20190703,1
6,20190704,1
6,20190705,1
6,20190708,1
6,20190709,1
6,20190710,1
